关键词,id,类型,标题,评分,评价人数,年份,简介,链接
Avengers: Endgame,26100958,电影,复仇者联盟4：终局之战 ,8.5,844782,2019,原名:Avengers: Endgame / 安东尼·罗素 / 小罗伯特·唐尼 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F26100958%2F&query=Avengers%3A+Endgame&cat_id=1002&type=search&pos=0
Avengers: Endgame,33428381,音乐,Avengers: Endgame (Original Motion Picture Soundtrack) ,7.6,479,2019,亚伦·史维斯查 Alan Silvestri / 原声 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F33428381%2F&query=Avengers%3A+Endgame&cat_id=1003&type=search&pos=1
Avengers: Endgame,33461893,书籍,Marvel's Avengers: Endgame - The Art of the Movie ,(评价人数不足),,2019,Marvel Studios / Marvel / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F33461893%2F&query=Avengers%3A+Endgame&cat_id=1001&type=search&pos=2
Avengers: Endgame,35031673,书籍,英文原版. Avengers: Endgame 复仇者联盟4：终局之战（电影同名小说. 赠英文音频、电子书及核心词讲解） ,(评价人数不足),,,美国漫威公司 / 华东理工大学出版社,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F35031673%2F&query=Avengers%3A+Endgame&cat_id=1001&type=search&pos=3
Avengers: Endgame,34264798,音乐,Avengers Endgame Freestyle ,(目前无人评价),,2019,Killason / 说唱 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34264798%2F&query=Avengers%3A+Endgame&cat_id=1003&type=search&pos=4
Avengers: Endgame,716202866,日记,盘点Avengers4: Endgame110个彩蛋细节花絮,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F716202866%2F&query=Avengers%3A+Endgame&cat_id=1015&type=search&pos=0
Avengers: Endgame,715772371,日记,漫威官方释出 MCU 共 21 部电影片尾，《Avengers: End...,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F715772371%2F&query=Avengers%3A+Endgame&cat_id=1015&type=search&pos=1
Avengers: Endgame,716157929,日记,'Avengers: Endgame' a fitting send-off for Marvel'...,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F716157929%2F&query=Avengers%3A+Endgame&cat_id=1015&type=search&pos=2
Avengers: Endgame,716278969,日记,Avengers:Endgame,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F716278969%2F&query=Avengers%3A+Endgame&cat_id=1015&type=search&pos=3
Avengers: Endgame,717145291,日记,简报｜《Avengers：Endgame》将于全球迎来 20 亿美元...,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F717145291%2F&query=Avengers%3A+Endgame&cat_id=1015&type=search&pos=4
The Lion King,26884354,电影,狮子王 ,7.4,284307,2019,原名:The Lion King / 乔恩·费儒 / 唐纳德·格洛弗 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F26884354%2F&query=The+Lion+King&cat_id=1002&type=search&pos=0
The Lion King,1301753,电影,狮子王 ,9.0,575001,1994,原名:The Lion King / 罗杰·阿勒斯 / 乔纳森·泰勒·托马斯 / 1994,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1301753%2F&query=The+Lion+King&cat_id=1002&type=search&pos=1
The Lion King,1301757,电影,狮子王2：辛巴的荣耀 ,7.8,51500,1998,原名:The Lion King II: Simba's Pride / 达雷尔·鲁尼 / 马修·布罗德里克 / 1998,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1301757%2F&query=The+Lion+King&cat_id=1002&type=search&pos=2
The Lion King,1401604,电影,狮子王3 ,7.9,27801,2004,原名:The Lion King 1½ / 布拉德利·雷蒙德 / 内森·连恩 / 2004,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1401604%2F&query=The+Lion+King&cat_id=1002&type=search&pos=3
The Lion King,34392666,音乐,The Lion King and Other Disney Classics ,(目前无人评价),,2014,The Wishing Stars / 爵士 / 2014,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34392666%2F&query=The+Lion+King&cat_id=1003&type=search&pos=4
The Lion King,34537630,音乐,The Lion King (Original Broadway Cast Recording) ,(目前无人评价),,1997,Tsidii Le Loka  / 原声配乐 / 1997,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34537630%2F&query=The+Lion+King&cat_id=1003&type=search&pos=5
The Lion King,34581359,音乐,The Lion King (Original Motion Picture Soundtrack) ,(目前无人评价),,1994,Nathan Lane / 原声配乐 / 1994,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34581359%2F&query=The+Lion+King&cat_id=1003&type=search&pos=6
The Lion King,33610003,音乐,A Tribute Music Now: 20th Anniversary Tribute to The Lion King ,(目前无人评价),,2014,The Tribute Beat / 原声 / 2014,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F33610003%2F&query=The+Lion+King&cat_id=1003&type=search&pos=7
The Lion King,25761099,书籍,Disney's the Lion King Pop-Up Book ,(评价人数不足),,1994,Walt Disney / Disney Pr (Juv Trd) / 1994,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F25761099%2F&query=The+Lion+King&cat_id=1001&type=search&pos=8
The Lion King,27003794,书籍,Roar!: A Story from Disney's the Lion King ,(目前无人评价),,,,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F27003794%2F&query=The+Lion+King&cat_id=1001&type=search&pos=9
The Lion King,34434066,书籍,The Lion King Read-Along Storybook and CD ,(目前无人评价),,2019,Disney Book Group / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F34434066%2F&query=The+Lion+King&cat_id=1001&type=search&pos=10
The Lion King,34434067,书籍,The Lion King Live Action Picture Book: Hakuna Matata ,(目前无人评价),,2019,Brittany Rubiano / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F34434067%2F&query=The+Lion+King&cat_id=1001&type=search&pos=11
The Lion King,24737509,书籍,The Lion King ,(目前无人评价),,1994,Unknown / 1994,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F24737509%2F&query=The+Lion+King&cat_id=1001&type=search&pos=12
The Lion King,24533183,书籍,The Lion King Disneys Storybooks ,(目前无人评价),,1994,"Margo Hover,Judy Barnes / 1994",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F24533183%2F&query=The+Lion+King&cat_id=1001&type=search&pos=13
The Lion King,20367654,书籍,Disney's the Lion King ,(目前无人评价),,1994,Justine Korman-Fontes / 1994,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F20367654%2F&query=The+Lion+King&cat_id=1001&type=search&pos=14
The Lion King,20224791,书籍,The Lion King II ,(目前无人评价),,,"Russell, Jesse; Cohn, Ronald; / Book on Demand Ltd.",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F20224791%2F&query=The+Lion+King&cat_id=1001&type=search&pos=15
The Lion King,19985400,书籍,A Tale of Two Brothers Disneys The Lion King Disneys The Lion King ,(目前无人评价),,1994,Alex Simmons; Illustrator-Denise Shimabu / 1994,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F19985400%2F&query=The+Lion+King&cat_id=1001&type=search&pos=16
The Lion King,19598280,书籍,The Lion King Celebration ,(目前无人评价),,,"Surhone, Lambert M.; Tennoe, Mariam T.; Henssonow, Susan F.",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F19598280%2F&query=The+Lion+King&cat_id=1001&type=search&pos=17
The Lion King,3702387,书籍,Disney's the Lion King ,(评价人数不足),,1994,Gina Ingoglia / Disney Pr (Juv Trd) / 1994,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F3702387%2F&query=The+Lion+King&cat_id=1001&type=search&pos=18
