关键词,id,类型,标题,评分,评价人数,年份,简介,链接
Star Wars: Episode VIII - The Last Jedi,742483701,日记,19/11 我的2019 Game Awards - 年度最佳游戏配乐,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F742483701%2F&query=Star+Wars%3A+Episode+VIII+-+The+Last+Jedi&cat_id=1015&type=search&pos=0
Star Wars: Episode VIII - The Last Jedi,702156461,日记,出太阳了|2018观影总结,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F702156461%2F&query=Star+Wars%3A+Episode+VIII+-+The+Last+Jedi&cat_id=1015&type=search&pos=1
Star Wars: Episode VIII - The Last Jedi,277732337,日记,【100部电影，100张幕后照片（1931-2012）】,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F277732337%2F&query=Star+Wars%3A+Episode+VIII+-+The+Last+Jedi&cat_id=1015&type=search&pos=2
Star Wars: Episode VIII - The Last Jedi,584178188,日记,2017年最值得期待的大片都在这里了，快收藏起来,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fnote%2F584178188%2F&query=Star+Wars%3A+Episode+VIII+-+The+Last+Jedi&cat_id=1015&type=search&pos=3
Beauty and the Beast,25900945,电影,美女与野兽 ,7.2,309493,2017,原名:Beauty and the Beast / 比尔·康顿 / 艾玛·沃森 / 2017,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25900945%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=0
Beauty and the Beast,1297995,电影,美女与野兽 ,8.5,137426,1991,原名:Beauty and the Beast / 加里·特洛斯达勒 / 佩吉·奥哈拉 / 1991,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1297995%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=1
Beauty and the Beast,1428242,电视剧,侠胆雄狮 第一季 ,8.0,4650,1987,原名:Beauty and the Beast / 布鲁斯·马尔穆斯 / 拉尔夫·曼扎 / 1987,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1428242%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=2
Beauty and the Beast,10535501,电视剧,侠胆雄狮 第一季 ,6.5,2356,2012,原名:Beauty and the Beast / 伊维斯·西蒙尼奥 / 克斯汀·克鲁克 / 2012,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F10535501%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=3
Beauty and the Beast,30345163,电视剧,侠胆雄狮 第二季 ,(暂无评分),,1988,原名:Beauty and the Beast / 琳达·汉密尔顿 / 1988,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F30345163%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=4
Beauty and the Beast,30345164,电视剧,侠胆雄狮 第三季 ,(暂无评分),,1989,原名:Beauty and the Beast / 朗·普尔曼 / 1989,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F30345164%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=5
Beauty and the Beast,26379753,电视剧,侠胆雄狮 第四季 ,6.3,114,2016,原名:Beauty and the Beast / 斯图尔特·格兰德 / 克斯汀·克鲁克 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F26379753%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=6
Beauty and the Beast,24530442,电视剧,侠胆雄狮 第二季 ,6.7,517,2013,原名:Beauty and the Beast / 加里·弗莱德 / 克斯汀·克鲁克 / 2013,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F24530442%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=7
Beauty and the Beast,25985782,电视剧,侠胆雄狮 第三季 ,6.7,160,2015,原名:Beauty and the Beast / 黛博拉·周 / 克斯汀·克鲁克 / 2015,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25985782%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=8
Beauty and the Beast,4138533,电影,美女与野兽 ,4.0,147,2010,原名:Beauty and the Beast / 艾斯黛拉·沃伦 / 2010,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F4138533%2F&query=Beauty+and+the+Beast&cat_id=1002&type=search&pos=9
Beauty and the Beast,3633797,书籍,Beauty and the Beast ,6.2,58,1997,Various / Signet Classics / 1997,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F3633797%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=10
Beauty and the Beast,1355976,书籍,Beauty and the Beast ,(评价人数不足),,2002,"Mayer, Marianna/ Mayer, Mercer (ILT) / Chronicle Books Llc / 2002",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F1355976%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=11
Beauty and the Beast,24636674,书籍,Beauty and the Beast ,(评价人数不足),,,"Jones, Ursula",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F24636674%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=12
Beauty and the Beast,26946504,书籍,The Beauty and the Beast ,(评价人数不足),,2017,"Villenueve, Gabrielle-Suzanna Barbot de / Harper Design / 2017",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F26946504%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=13
Beauty and the Beast,30274364,书籍,Beauty and the Beast ,(评价人数不足),,2016,Mahlon F. Craft / HarperCollins / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F30274364%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=14
Beauty and the Beast,6896877,书籍,Beauty and the Beast ,(评价人数不足),,2011,Jan Brett / Penguin / 2011,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F6896877%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=15
Beauty and the Beast,5023927,书籍,Beauty and the Beast and Tales from Home ,(目前无人评价),,2008,"Taylor, Bayard / Tutis Digital Publishing / 2008",https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F5023927%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=16
Beauty and the Beast,20066140,书籍,Beauty and the Beast - Read it Yourself with Ladybird Level 2 ,(目前无人评价),,,Ladybird,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F20066140%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=17
Beauty and the Beast,3330328,书籍,Beauty and the Beast Disney Classics ,(评价人数不足),,1991,Walt Disney / Disney Pr / 1991,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F3330328%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=18
Beauty and the Beast,30213852,书籍,Beauty and  the Beast ,(评价人数不足),,2007,Nicola Baxter / Bookmart Ltd / 2007,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F30213852%2F&query=Beauty+and+the+Beast&cat_id=1001&type=search&pos=19
Beauty and the Beast,58501432,,Beauty&Beast,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F58501432%2F&query=Beauty+and+the+Beast&cat_id=&type=search&pos=0
Beauty and the Beast,145007582,,beauty&beast,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F145007582%2F&query=Beauty+and+the+Beast&cat_id=&type=search&pos=1
Beauty and the Beast,154134501,, Beauty&Beast,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F154134501%2F&query=Beauty+and+the+Beast&cat_id=&type=search&pos=2
Beauty and the Beast,177050044,,Beauty&beast美,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F177050044%2F&query=Beauty+and+the+Beast&cat_id=&type=search&pos=3
Beauty and the Beast,151528318,,beauty_beast,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F151528318%2F&query=Beauty+and+the+Beast&cat_id=&type=search&pos=4
Despicable Me 3,25812712,电影,神偷奶爸3 ,6.8,202568,2017,原名:Despicable Me 3 / 凯尔·巴尔达 / 史蒂夫·卡瑞尔 / 2017,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25812712%2F&query=Despicable+Me+3&cat_id=1002&type=search&pos=0
Despicable Me 3,3287562,电影,神偷奶爸 ,8.6,704337,2010,原名:Despicable Me / 皮埃尔·柯芬 / 史蒂夫·卡瑞尔 / 2010,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F3287562%2F&query=Despicable+Me+3&cat_id=1002&type=search&pos=1
Despicable Me 3,32805302,书籍,Despicable Me 3 Book: A Maids Work Is Never Done ,(目前无人评价),,,,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F32805302%2F&query=Despicable+Me+3&cat_id=1001&type=search&pos=2
Despicable Me 3,32760830,书籍,"Despicable Me 3 Coloring Book for Kids and Adults: Characters, Scenes, Illustrations ",(目前无人评价),,,,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F32760830%2F&query=Despicable+Me+3&cat_id=1001&type=search&pos=3
Despicable Me 3,4915857,电影,神偷奶爸2 ,8.0,349780,2013,原名:Despicable Me 2 / 皮埃尔·柯芬 / 史蒂夫·卡瑞尔 / 2013,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F4915857%2F&query=Despicable+Me+3&cat_id=1002&type=search&pos=4
