关键词,id,类型,标题,评分,评价人数,年份,简介,链接
Avengers: Infinity War,24773958,电影,复仇者联盟3：无限战争 ,8.1,661230,2018,原名:Avengers: Infinity War / 安东尼·罗素 / 小罗伯特·唐尼 / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F24773958%2F&query=Avengers%3A+Infinity+War&cat_id=1002&type=search&pos=0
Avengers: Infinity War,30204827,音乐,Avengers: Infinity War (Original Motion Picture Soundtrack) ,6.5,315,2018,Alan Silvestri / 原声 / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F30204827%2F&query=Avengers%3A+Infinity+War&cat_id=1003&type=search&pos=1
Avengers: Infinity War,30207647,音乐,Avengers: Infinity War Avengers: Infinity War (Original Motion Picture Soundtrack) [Deluxe Edition] ,7.2,157,2018,亚伦·史维斯查 Alan Silvestri / 原声 / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F30207647%2F&query=Avengers%3A+Infinity+War&cat_id=1003&type=search&pos=2
Avengers: Infinity War,26100958,电影,复仇者联盟4：终局之战 ,8.5,844798,2019,原名:Avengers: Endgame / 安东尼·罗素 / 小罗伯特·唐尼 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F26100958%2F&query=Avengers%3A+Infinity+War&cat_id=1002&type=search&pos=3
Avengers: Infinity War,27182750,书籍,Marvel's Avengers: Infinity War - The Art of the Movie ,(评价人数不足),,2018,Eleni Roussos / Marvel / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F27182750%2F&query=Avengers%3A+Infinity+War&cat_id=1001&type=search&pos=4
Avengers: Infinity War,27177063,书籍,Marvel's Avengers: Infinity War Prelude ,(评价人数不足),,2018,Will Corona Pilgrim / Marvel / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F27177063%2F&query=Avengers%3A+Infinity+War&cat_id=1001&type=search&pos=5
Avengers: Infinity War,27607238,书籍,The Road to Marvels Avengers: Infinity War ,(评价人数不足),,2018,Eleni Roussos / Marvel / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F27607238%2F&query=Avengers%3A+Infinity+War&cat_id=1001&type=search&pos=6
Avengers: Infinity War,30203451,电影,复仇者格林：战事再起 ,3.4,122,2018,原名:Avengers Grimm: Time Wars /  / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F30203451%2F&query=Avengers%3A+Infinity+War&cat_id=1002&type=search&pos=7
Avengers: Infinity War,27193046,电影,正义复仇者 ,(暂无评分),,2018,原名:Avengers of Justice: Farce Wars / 艾米·斯马特 / 2018,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F27193046%2F&query=Avengers%3A+Infinity+War&cat_id=1002&type=search&pos=8
Avengers: Infinity War,32859661,书籍,Marvel’s Avengers - Infinity War Ruled Journal ,(目前无人评价),,,,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F32859661%2F&query=Avengers%3A+Infinity+War&cat_id=1001&type=search&pos=9
